lemma,freq
afro-américain,0.95
afro-asiatique,0.01
afro-cubain,0.07
after-shave,0.68
aga,6.01
agace,0.41
agacement,7.57
agacer,30.68
agacerie,0.54
agaceur,0.07
agami,0.07
agapanthe,0.07
agape,0.68
agar-agar,0.07
agate,1.22
agathe,0.14
agave,0.47
agaçant,4.19
age,3.37
agence,23.15
agencement,1.89
agencer,2.91
agenda,6.08
agenouillement,0.27
agenouiller,23.31
agenouillé,2.36
agent,117.90
aggiornamento,0.07
agglo,0.07
agglomérat,0.47
agglomération,2.16
agglomérer,1.62
aggloméré,0.47
agglutinatif,0.07
agglutination,0.14
agglutinement,0.07
agglutiner,6.55
agglutinogène,0.07
aggravation,0.74
aggrave,0.01
aggraver,10.54
aggravée,0.07
agile,5.00
agilité,3.38
agioteur,0.07
agir,219.73
agissant,0.68
agissement,1.34
agit-prop,0.10
agitant,0.14
agitateur,1.89
agitation,21.35
agitato,0.17
agiter,89.19
agité,9.86
aglagla,0.07
agnat,0.07
agneau,16.13
agnelage,0.07
agnelet,0.11
agneline,0.07
agnosie,0.02
agnostique,0.47
agnus dei,0.47
agnus-dei,0.07
agonie,14.59
agonique,0.14
agonir,0.95
agonisant,3.38
agoniser,5.34
agoniste,0.07
agora,0.68
agoraphobe,0.07
agoraphobie,0.23
agouti,0.41
agoyate,0.41
agrafage,0.03
agrafe,2.43
agrafer,2.36
agrafeur,0.03
agrafeuse,0.79
agrainage,0.07
agraire,0.54
agrandir,16.15
agrandissement,1.69
agrandisseur,0.27
agranulocytose,0.01
agrarien,0.14
agresser,13.39
agresseur,6.87
agressif,15.88
agression,12.91
agressivement,1.01
agressivité,5.00
agreste,0.81
agricole,7.36
agriculteur,1.76
agriculture,3.39
agrippant,0.14
agrippement,0.07
agripper,17.57
agro,0.20
agro-alimentaire,0.15
agroalimentaire,0.04
agronome,0.40
agronomie,0.07
agronomique,0.07
agrume,0.54
agrès,1.01
agréable,40.24
agréablement,3.65
agréer,5.07
agrég,0.14
agrégat,0.61
agrégatif,0.47
agrégation,2.97
agrégative,0.07
agréger,0.81
agrégé,1.15
agrément,7.16
agrémenter,5.68
agrémenté,0.14
agréé,0.68
aguardiente,0.03
aguerri,1.01
aguerrir,0.81
aguichage,0.01
aguichant,0.54
aguiche,0.01
aguicher,0.88
aguicheur,0.47
ah,576.53
ahan,0.54
ahanant,0.41
ahanement,0.34
ahaner,2.16
ahi,0.27
ahou,0.01
ahuri,7.70
ahurir,3.38
ahurissant,2.16
ahurissement,1.82
aicher,0.10
aide,175.59
aide-bourreau,0.14
aide-comptable,0.07
aide-cuisinier,0.14
aide-infirmier,0.04
aide-jardinier,0.07
aide-major,0.14
aide-mémoire,0.41
aide-ménagère,0.27
aide-pharmacien,0.07
aide-soignant,0.40
aider,688.71
aigle,11.35
aiglefin,0.07
aiglon,0.95
aigre,10.47
aigre-doux,1.28
aigrelet,3.58
aigrement,1.42
aigrette,2.64
aigreur,4.32
aigri,1.08
aigrir,2.09
aigu,32.09
aiguade,0.14
aiguail,0.27
aigue-marine,0.81
aiguillage,2.16
aiguillat,0.02
aiguille,34.19
aiguiller,3.24
aiguilleur,0.41
aiguillon,2.50
aiguillonner,1.55
aiguillée,0.27
aiguiser,7.36
aiguiseur,0.04
aiguisoir,0.07
aiguisé,1.69
aiguière,0.27
ail,9.14
aile,60.47
aileron,1.49
ailette,0.54
ailier,1.40
ailler,0.61
ailleurs,346.35
ailé,3.04
aimable,29.26
aimablement,3.85
aimant,2.97
aimantation,0.47
aimanter,2.30
aimer,1655.07
aimé,12.77
aine,2.77
ains,0.02
ainsi,469.46
air,690.81
air bag,0.02
air-air,0.09
air-mer,0.02
air-sol,0.13
airain,1.69
airbag,1.11
airbus,0.01
aire,5.54
airedale,0.01
airelle,1.12
ais,10.14
aisance,15.41
aise,52.64
aisseau,0.01
aisselle,8.99
aisé,7.77
aisément,11.69
aixois,0.14
ajaccienne,0.07
ajax,0.07
ajointer,0.20
ajonc,1.69
ajournement,0.47
ajourner,1.48
ajourné,0.19
ajouré,2.70
ajout,0.94
ajoute,0.27
ajouter,224.66
ajouté,0.74
ajustable,0.07
ajustage,0.14
ajustement,0.88
ajuster,10.41
ajusteur,0.62
ajusture,0.07
ajusté,3.24
ajutage,0.10
akkadien,0.03
akkadienne,0.01
ako,0.08
akvavit,0.20
al dente,0.40
alacrité,0.61
alain,0.14
alaire,0.14
alaise,0.07
alambic,1.22
alangui,2.30
alanguir,1.89
alanguissement,0.47
alarmant,2.84
alarme,19.29
alarmer,6.28
alarmisme,0.07
alarmiste,0.27
alba,0.20
albacore,0.09
albanais,1.28
albanophone,0.01
albatros,2.01
albe,0.01
albertine,0.07
albigeois,0.14
albinisme,0.02
albinos,0.74
alboche,0.07
albugo,0.07
album,18.38
albumine,0.19
albâtre,3.11
albène,0.07
alcade,0.30
alcalde,0.05
alcali,0.27
alcalin,0.24
alcaliniser,0.02
alcalinité,0.03
alcalose,0.02
alcaloïde,0.16
alcatraz,1.09
alcazar,1.69
alchimie,1.96
alchimique,1.15
alchimiste,2.87
alcibiade,0.01
alcool,42.84
alcoolique,4.12
alcoolisme,1.84
alcoolisé,1.55
alcoolo,1.40
alcoolémie,0.58
