word,gender,freq
adultères,m,3.69
adultération,f,0.07
adverbe,m,0.61
adverbes,m,0.61
adversité,f,2.16
adversités,f,2.16
adénine,f,0.01
adénocarcinome,m,0.04
adénome,m,0.07
adénopathie,f,0.01
adénosine,f,0.07
adénovirus,m,0.01
adéquation,f,0.34
aegipans,m,0.07
affabilité,f,1.28
affabilités,f,1.28
affabulation,f,1.22
affabulations,f,1.22
affabulatrice,f,0.14
affacturage,m,0.01
affadissement,m,0.20
affaiblissement,m,1.49
affaire,f,393.83
affairement,m,0.54
affairements,m,0.54
affaires,f,393.83
affairisme,m,0.07
affairé,m,1.01
affairée,f,1.01
affairées,f,1.01
affairés,m,1.01
affaissement,m,1.55
affaissements,m,1.55
affalement,m,0.14
affamé,m,3.58
affamée,f,3.58
affamées,f,3.58
affamés,m,3.58
affect,m,0.26
affectation,f,5.27
affectations,f,5.27
affection,f,31.22
affections,f,31.22
affectivité,f,0.41
affermissement,m,0.14
affichage,m,1.49
affichages,m,1.49
affiche,f,19.86
affiches,f,19.86
affichette,f,1.35
affichettes,f,1.35
afficheur,m,0.27
afficheurs,m,0.27
affidavit,m,0.06
affidé,m,0.27
affidés,m,0.27
affiliation,f,0.33
affiliations,f,0.33
affilié,m,0.41
affiliée,f,0.41
affiliées,f,0.41
affiliés,m,0.41
affinage,m,0.07
affinement,m,0.20
affinité,f,4.46
affinités,f,4.46
affiquets,m,0.07
affirmation,f,6.42
affirmations,f,6.42
affirmative,f,0.61
affleurement,m,0.88
affleurements,m,0.88
affliction,f,2.77
afflictions,f,2.77
affluence,f,2.64
affluent,m,0.95
affluents,m,0.95
afflux,m,2.30
affolement,m,5.34
affouage,m,0.14
affouages,m,0.14
affouillement,m,0.14
affouillements,m,0.14
affranchi,m,1.49
affranchie,f,1.49
affranchies,f,1.49
affranchis,m,1.49
affranchissement,m,0.47
affres,f,2.36
affreux,m,3.78
affront,m,3.85
affrontement,m,4.05
affrontements,m,4.05
affronts,m,3.85
affrètement,m,0.03
affréteur,m,0.07
affublement,m,0.14
affusions,f,0.07
afféterie,f,0.41
afféteries,f,0.41
affût,m,11.35
affûtage,m,0.14
affûteur,m,0.07
affûts,m,11.35
afghan,m,1.12
afghane,f,1.12
afghanes,f,1.12
afghans,m,1.12
aficionado,m,0.68
aficionados,m,0.68
africain,m,4.05
africaine,f,4.05
africaines,f,4.05
africains,m,4.05
africanisme,m,0.10
afrikaans,m,0.05
afro-américain,m,0.95
afro-américaine,f,0.95
afro-américains,m,0.95
afro-cubain,m,0.07
afro-cubaine,f,0.07
after shave,m,0.68
after-shave,m,0.68
aga,m,6.01
agace,f,0.41
agacement,m,7.57
agacements,m,7.57
agacerie,f,0.54
agaceries,f,0.54
